#FeatureId,DATA_DATE,DATA_SRCE,DEC_LONG,DEC_LAT,PID,NAME,STATE,COUNTY,QUAD,LATITUDE,LONGITUDE,POS_DATUM,DATUM_TAG,POS_SRCE,ELEVATION,ELEV_DATUM,ELEV_SRCE,ELLIP_HT,ELLIP_SRCE,POS_ORDER,POS_CHECK,ELEV_ORDER,ELEV_CLASS,ELEV_CHECK,DIST_RATE,ELLP_ORDER,ELLP_CLASS,FIRST_RECV,LAST_RECV,LAST_COND,LAST_RECBY,SAT_USE,SAT_DATE,STABILITY
32,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0254,-106.64556, 35.20194,FO0254,5012.53,NM,BERNALILLO,LOS GRIEGOS (1990),35 12 07.     (N),106 38 44.     (W),NAD 83,(1986),SCALED    , 1528.579,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1931    ,1984    ,MARK NOT FOUND  ,NGS,,,C
33,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO1411,-106.87043, 35.07131,FO1411,5973 66,NM,BERNALILLO,LA MESITA NEGRA SE (1990),35 04 16.71228(N),106 52 13.55819(W),NAD 83,(1992),ADJUSTED  , 1821.52 ,NAVD 88 ,VERTCON   ,,,2,Y,,,,,,,1958    ,1958    ,GOOD            ,CGS,,,D
34,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0187,-106.38278, 35.04639,FO0187,6567,NM,BERNALILLO,TIJERAS (1990),35 02 47.     (N),106 22 58.     (W),NAD 83,(1986),SCALED    , 2002.244,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,UNK     ,20061111,GOOD            ,GEOCAC,,,D
35,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0185,-106.38139, 35.03556,FO0185,6703,NM,BERNALILLO,TIJERAS (1990),35 02 08.     (N),106 22 53.     (W),NAD 83,(1986),SCALED    , 2043.947,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,UNK     ,20061111,MARK NOT FOUND  ,GEOCAC,,,B
36,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0179,-106.33639, 35.00278,FO0179,7419.33,NM,BERNALILLO,SEDILLO (1995),35 00 10.     (N),106 20 11.     (W),NAD 83,(1986),SCALED    , 2262.475,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1933    ,1935    ,GOOD            ,CGS,,,D
37,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0077,-106.31861, 34.97694,EQ0077,7467.98,NM,BERNALILLO,ESCABOSA (1995),34 58 37.     (N),106 19 07.     (W),NAD 83,(1986),SCALED    , 2277.263,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1933    ,1935    ,GOOD            ,CGS,,,D
38,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0311,-106.73806, 35.08833,FO0311,8 1/2,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 18.     (N),106 44 17.     (W),NAD 83,(1986),SCALED    , 1591.889,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20060205,MARK NOT FOUND  ,GEOCAC,,,D
39,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0191,-106.38389, 35.07417,FO0191,A 135,NM,BERNALILLO,TIJERAS (1990),35 04 27.     (N),106 23 02.     (W),NAD 83,(1986),SCALED    , 1924.222,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,20061111,MARK NOT FOUND  ,GEOCAC,,,C
40,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0316,-106.71361, 35.07917,FO0316,A 225,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 04 45.     (N),106 42 49.     (W),NAD 83,(1986),SCALED    , 1553.647,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,1982    ,MARK NOT FOUND  ,NGS,,,C
41,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0257,-106.65500, 35.19694,FO0257,A 227,NM,BERNALILLO,LOS GRIEGOS (1990),35 11 49.     (N),106 39 18.     (W),NAD 83,(1986),SCALED    , 1538.364,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,1984    ,GOOD            ,NGS,,,C
42,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0864,-106.64694, 35.08000,FO0864,A 424,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 04 48.     (N),106 38 49.     (W),NAD 83,(1986),SCALED    , 1511.987,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,19911010,GOOD            ,NGS,N,19911010,B
43,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0834,-106.96556, 35.02750,FO0834,A 425,NM,BERNALILLO,LA MESITA NEGRA (1990),35 01 39.     (N),106 57 56.     (W),NAD 83,(1986),SCALED    , 1636.663,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,20041209,GOOD            ,NMHD,Y,20041209,B
44,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0867,-106.64211, 35.11053,FO0867,A 438,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 06 37.9    (N),106 38 31.6    (W),NAD 83,(1986),HD_HELD2  , 1516.491,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1984    ,20110511,GOOD            ,SCINC,Y,20110511,B
45,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0366,-106.55667, 35.07444,FO0366,A 51,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 28.     (N),106 33 24.     (W),NAD 83,(1986),SCALED    , 1636.774,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20100222,MARK NOT FOUND  ,INDIV,,,D
46,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO1241,-106.62385, 35.11837,FO1241,AAA SITE T 3,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 07 06.14453(N),106 37 25.84397(W),NAD 83,(1992),ADJUSTED  , 1548.90 ,NAVD 88 ,VERTCON   ,,,2,Y,,,,,,,1969    ,20050116,MARK NOT FOUND  ,GEOCAC,,,C
47,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0317,-106.70083, 35.06778,FO0317,ALB 9,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 04 04.     (N),106 42 03.     (W),NAD 83,(1986),SCALED    , 1525.886,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1950    ,20050206,MARK NOT FOUND  ,GEOCAC,,,C
48,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DE5457,-106.49483, 34.96129,DE5457,ALB1 A,NM,BERNALILLO,MOUNT WASHINGTON (1995),34 57 40.64985(N),106 29 41.39979(W),NAD 83,(2011),ADJUSTED  , 1737.072,NAVD 88 ,ADJUSTED  ,1716.684,ADJUSTED,,,1,2,Y,,,,2002    ,20050329,GOOD            ,NGS,Y,20050329,B
49,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DE5458,-106.49398, 34.95717,DE5458,ALB1 B,NM,BERNALILLO,MOUNT WASHINGTON (1995),34 57 25.81730(N),106 29 38.31682(W),NAD 83,(2011),ADJUSTED  , 1738.948,NAVD 88 ,ADJUSTED  ,1718.562,ADJUSTED,,,1,2,N,,,,2002    ,20030627,GOOD            ,NGS,Y,20030627,B
50,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0328,-106.64194, 35.08333,FO0328,ALBUQUERQUE,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 00.     (N),106 38 31.     (W),NAD 83,(1986),SCALED    , 1521.076,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,1982    ,MARK NOT FOUND  ,NGS,,,C
51,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DE6386,-106.56734, 35.17357,DE6386,ALBUQUERQUE 1 CORS ARP,NM,BERNALILLO,ALAMEDA (1990),35 10 24.85464(N),106 34 02.41357(W),NAD 83,(2011),ADJUSTED  , 1641.48 ,NAVD 88 ,GPS OBS   ,1620.623,ADJUSTED,,,,,,,,,,,,,,,
52,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DE8222,-106.49445, 34.95737,DE8222,ALBUQUERQUE USCG1 CORS ARP,NM,BERNALILLO,MOUNT WASHINGTON (1995),34 57 26.54704(N),106 29 40.03779(W),NAD 83,(2011),ADJUSTED  , 1740.87 ,NAVD 88 ,GPS OBS   ,1720.483,ADJUSTED,,,,,,,,,,,,,,,
53,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0836,-106.97613, 35.03050,FO0836,ARROW,NM,BERNALILLO,LA MESITA NEGRA (1990),35 01 49.79873(N),106 58 34.07946(W),NAD 83,(1992),ADJUSTED  , 1701.749,NAVD 88 ,ADJUSTED  ,,,2,Y,1,2,Y,,,,1958    ,1982    ,GOOD            ,NGS,,,C
54,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0835,-106.97833, 35.02556,FO0835,ARROW AZ MK,NM,BERNALILLO,LA MESITA NEGRA (1990),35 01 32.     (N),106 58 42.     (W),NAD 83,(1986),SCALED    , 1680.335,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1958    ,19911011,GOOD            ,NGS,Y,19911011,C
55,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0341,-106.62222, 35.05694,FO0341,B 225,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 03 25.     (N),106 37 20.     (W),NAD 83,(1986),SCALED    , 1584.513,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,1989    ,MARK NOT FOUND  ,USPSQD,,,C
56,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0243,-106.63917, 35.11833,FO0243,B 227,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 07 06.     (N),106 38 21.     (W),NAD 83,(1986),SCALED    , 1516.317,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,20050115,MARK NOT FOUND  ,GEOCAC,,,C
57,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0865,-106.64639, 35.08694,FO0865,B 424,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 13.     (N),106 38 47.     (W),NAD 83,(1986),SCALED    , 1512.838,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,20050108,GOOD            ,GEOCAC,,,A
58,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0837,-106.99556, 35.02111,FO0837,B 425,NM,BERNALILLO,LA MESITA NEGRA (1990),35 01 16.     (N),106 59 44.     (W),NAD 83,(1986),SCALED    , 1647.502,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,1982    ,MONUMENTED      ,NGS,,,B
59,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0868,-106.63903, 35.11853,FO0868,B 438,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 07 06.7    (N),106 38 20.5    (W),NAD 83,(1986),HD_HELD2  , 1516.569,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1984    ,20071107,GOOD            ,INDIV,N,19941012,B
60,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0339,-106.62222, 35.08111,FO0339,B 48,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 52.     (N),106 37 20.     (W),NAD 83,(1986),SCALED    , 1573.923,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20041025,MARK NOT FOUND  ,GEOCAC,,,D
61,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0365,-106.57667, 35.07694,FO0365,B 51,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 37.     (N),106 34 36.     (W),NAD 83,(1986),SCALED    , 1613.711,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20100222,MARK NOT FOUND  ,INDIV,,,D
62,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0186,-106.38083, 35.04056,FO0186,BER 216,NM,BERNALILLO,TIJERAS (1990),35 02 26.     (N),106 22 51.     (W),NAD 83,(1986),SCALED    , 2025.715,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,20061111,MARK NOT FOUND  ,GEOCAC,,,D
63,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO1585,-107.02532, 35.01102,FO1585,BM 37 CAH,NM,BERNALILLO,CANONCITO SCHOOL (1971),35 00 39.68204(N),107 01 31.14885(W),NAD 83,(1992),ADJUSTED  , 1703.42 ,NAVD 88 ,VERTCON   ,,,2,Y,,,,,,,1971    ,1971    ,MONUMENTED      ,USGS,,,
64,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0252,-106.61694, 35.18917,FO0252,C 227,NM,BERNALILLO,ALAMEDA (1990),35 11 21.     (N),106 37 01.     (W),NAD 83,(1986),SCALED    , 1525.126,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,1984    ,GOOD            ,NGS,,,C
65,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0807,-106.64750, 35.10639,FO0807,C 424,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 06 23.     (N),106 38 51.     (W),NAD 83,(1986),SCALED    , 1514.730,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,20110511,GOOD            ,INDIV,N,20110511,A
66,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0838,-107.00278, 35.01861,FO0838,C 425,NM,BERNALILLO,CANONCITO SCHOOL (1971),35 01 07.     (N),107 00 10.     (W),NAD 83,(1986),SCALED    , 1637.162,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1982    ,1982    ,MONUMENTED      ,NGS,,,B
67,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0869,-106.63528, 35.12861,FO0869,C 438,NM,BERNALILLO,LOS GRIEGOS (1990),35 07 43.     (N),106 38 07.     (W),NAD 83,(1986),SCALED    , 1517.785,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1984    ,20050115,MARK NOT FOUND  ,GEOCAC,N,19941012,B
